company,industry,priority,internship_types,platform,career_url,platform_identifier,enabled
Northrop Grumman,Defense,High,SWE|Cybersecurity|Data|Embedded,custom,https://www.northropgrumman.com/careers/internships-at-northrop-grumman,,yes
General Dynamics,Defense,High,SWE|Cybersecurity|Embedded,custom,https://www.gd.com/careers/interns,,yes
BAE Systems Inc,Defense,High,SWE|Cybersecurity|Embedded|Data,custom,https://jobs.baesystems.com/global/en/leap,,yes
Huntington Ingalls Industries,Defense,High,SWE|Cybersecurity|Data,custom,https://www.hii.com/careers/students,,yes
Leidos,Defense,Medium,SWE|ML|Data|Cybersecurity,custom,https://careers.leidos.com/pages/intern-jobs,,yes
Booz Allen Hamilton,Defense,Medium,SWE|Data|Cybersecurity,custom,https://careers.boozallen.com/jobs/search,,yes
SAIC,Defense,Medium,SWE|Data|Cybersecurity,custom,https://jobs.saic.com/pages/early-career,,yes
CACI International,Defense,Medium,SWE|Data|Cybersecurity,eightfold,https://careers.caci.com/global/en/early-career-internships,caci.eightfold.ai|caci.com,yes
Textron Systems,Defense,Medium,SWE|Embedded|Robotics,custom,https://www.textronsystems.com/careers/student-candidates,,yes
Leonardo DRS,Defense,Medium,SWE|Embedded|Firmware,custom,https://careers.leonardodrs.com/go/Internships/9729000/,,yes
Kratos Defense,Defense,Medium,SWE|Cybersecurity|Embedded,custom,https://www.kratosdefense.com/careers/open-roles,,yes
Mercury Systems,Defense,Medium,SWE|Embedded|Hardware,custom,https://www.mrcy.com/careers,,yes
ManTech,Defense,Medium,SWE|Cybersecurity|Data,custom,https://www.mantech.com/internships,,yes
Parsons Corporation,Defense,Medium,SWE|Data|Robotics,custom,https://jobs.parsons.com/internships,,yes
Peraton,Defense,Medium,SWE|Cybersecurity|Data,custom,https://www.careers.peraton.com/students-early-career,,yes
MITRE Corporation,Defense Research,Medium,SWE|ML|Data|Cybersecurity,custom,https://careers.mitre.org/us/en/student-programs,,yes
Johns Hopkins Applied Physics Laboratory,Defense Research,Medium,SWE|ML|Data|Robotics,custom,https://www.jhuapl.edu/careers/internships,,yes
